R,rpm,Feed,Mean,Std..dev,Skewness,Kurtosis,Mean_trend,Std.dev_trend
1,575.00,0.16,1619.54,84.92,-2.15,19.72,-8.39,2.60
1,825.00,0.10,1071.21,97.42,-0.53,6.28,31.33,13.14
1,825.00,0.10,879.59,54.84,-0.13,2.98,5.68,0.36
1,575.00,0.16,1803.59,126.91,-0.06,3.47,50.89,5.21
1,340.00,0.10,1045.14,27.55,-1.00,10.39,-0.21,1.14
1,340.00,0.19,1646.77,65.97,-3.04,32.33,-9.81,3.66
1,825.00,0.19,1982.25,277.45,-0.31,3.21,-158.29,3.16
1,825.00,0.19,1824.00,278.98,-0.93,4.43,-74.33,-13.46
1,340.00,0.19,1891.92,287.03,0.18,3.16,-69.04,6.99
1,340.00,0.10,994.69,37.50,0.06,2.40,-10.19,-0.42
2,575,0.1,1124.98,55.93,0.4,4.27,3.2,0.46
2,575,0.1,854.55,78.52,0.22,5.59,3.77,2.4
2,290,0.1,1154.15,44.12,-1.11,3.95,11.95,-0.37
2,480,0.16,1838.71,66.16,-1.25,16.37,1.64,2.14
2,290,0.19,1018.27,57.86,-0.87,2.88,-9.73,0.99
2,575,0.19,1885.76,166.64,-1.81,7.24,24.43,3.19
2,290,0.19,2010.59,265.83,-0.33,3.12,-53.82,18.14
2,575,0.19,1948.63,155.91,-4.26,23.42,-6.04,9.97
2,480,0.16,1413.17,143.57,-0.24,4.5,21.42,5.61
2,290,0.1,1266.76,33.56,0.39,3.15,1.44,0.04
